n_samples,epsilon,run_idx,seed,dp_mse_truth,dp_runtime_s,timestamp
300,1.0,16,300116,0.007215652946178962,0.02551683411002159,2026-04-30 20:35:16
300,1.0,17,300117,0.003079726425972656,0.025782749988138676,2026-04-30 20:35:16
300,1.0,19,300119,0.014854416629108878,0.025116332806646824,2026-04-30 20:35:16
600,0.1,0,600010,0.15735033210183108,0.04659937508404255,2026-04-30 20:35:19
600,0.1,1,600011,0.04834797904659008,0.03689716709777713,2026-04-30 20:35:19
600,0.1,4,600014,0.06552958819261914,0.02349245920777321,2026-04-30 20:35:19
600,0.1,3,600013,0.09892235480590222,0.03121308283880353,2026-04-30 20:35:19
600,0.1,2,600012,0.11777983614480014,0.0460480828769505,2026-04-30 20:35:19
600,0.1,7,600017,0.04781135292498093,0.023766000289469957,2026-04-30 20:35:19
600,0.1,5,600015,0.09975546107790267,0.040136707946658134,2026-04-30 20:35:19
600,0.1,8,600018,0.14942337402243758,0.02600883413106203,2026-04-30 20:35:19
600,0.1,6,600016,0.0384419368376763,0.0390154579654336,2026-04-30 20:35:19
600,0.1,10,600020,0.11691627847242356,0.02834575017914176,2026-04-30 20:35:19
600,0.1,9,600019,0.10485506592108762,0.032742875162512064,2026-04-30 20:35:19
600,0.1,11,600021,0.11243997592358908,0.033380291890352964,2026-04-30 20:35:19
600,0.1,12,600022,0.09391890156860103,0.03001362457871437,2026-04-30 20:35:19
600,0.1,13,600023,0.09935813908212149,0.029364415910094976,2026-04-30 20:35:19
600,0.1,15,600025,0.1578787291274623,0.027872958686202765,2026-04-30 20:35:19
600,0.1,14,600024,0.1257781508584838,0.03468649974092841,2026-04-30 20:35:19
600,0.1,18,600028,0.1437946960631419,0.021366707980632782,2026-04-30 20:35:19
600,0.1,16,600026,0.12591323440074206,0.030816125217825174,2026-04-30 20:35:19
600,0.1,17,600027,0.09886677611184207,0.028655875008553267,2026-04-30 20:35:19
600,0.1,19,600029,0.1091603086566722,0.026574458926916122,2026-04-30 20:35:19
600,0.2,0,600020,0.012977543057110824,0.036655290983617306,2026-04-30 20:35:22
600,0.2,1,600021,0.021577722251723164,0.035537249874323606,2026-04-30 20:35:22
600,0.2,3,600023,0.02484208808905433,0.02782937465235591,2026-04-30 20:35:22
600,0.2,6,600026,0.016795677866901917,0.0229593338444829,2026-04-30 20:35:22
600,0.2,2,600022,0.022749720544648494,0.04247954161837697,2026-04-30 20:35:22
600,0.2,5,600025,0.07112986927390119,0.029552666936069727,2026-04-30 20:35:22
600,0.2,4,600024,0.019151289127617432,0.03562370780855417,2026-04-30 20:35:22
600,0.2,7,600027,0.028773830093599056,0.02378816669806838,2026-04-30 20:35:22
600,0.2,9,600029,0.026539855774550383,0.023783708922564983,2026-04-30 20:35:22
600,0.2,12,600032,0.021850559333006208,0.0242784577421844,2026-04-30 20:35:22
600,0.2,8,600028,0.02511048773732647,0.0421339999884367,2026-04-30 20:35:22
600,0.2,13,600033,0.0045774568072125925,0.02996762515977025,2026-04-30 20:35:22
600,0.2,10,600030,0.006315641193911927,0.03652858315035701,2026-04-30 20:35:22
600,0.2,16,600036,0.023314523346478246,0.02143854135647416,2026-04-30 20:35:22
600,0.2,15,600035,0.005732833270996166,0.026282791048288345,2026-04-30 20:35:22
600,0.2,11,600031,0.0076319237366723365,0.040711790788918734,2026-04-30 20:35:22
600,0.2,14,600034,0.008474919940605338,0.032961666118353605,2026-04-30 20:35:22
600,0.2,17,600037,0.014175103843494966,0.026417790912091732,2026-04-30 20:35:22
600,0.2,18,600038,0.01447056824081113,0.025869791861623526,2026-04-30 20:35:22
600,0.2,19,600039,0.012928938203076203,0.022695708088576794,2026-04-30 20:35:22
600,0.5,0,600050,0.004039386333731807,0.03249837504699826,2026-04-30 20:35:25
600,0.5,3,600053,0.00421015816502666,0.031943374779075384,2026-04-30 20:35:25
600,0.5,1,600051,0.004189567943323624,0.03922066604718566,2026-04-30 20:35:25
600,0.5,2,600052,0.002871547965408594,0.03853187523782253,2026-04-30 20:35:25
600,0.5,6,600056,0.002567053926269054,0.029199959244579077,2026-04-30 20:35:25
600,0.5,5,600055,0.001282916815925127,0.03709008311852813,2026-04-30 20:35:25
600,0.5,7,600057,0.007206995914345441,0.03285612491890788,2026-04-30 20:35:25
600,0.5,4,600054,0.0014848181351195177,0.04063658369705081,2026-04-30 20:35:25
600,0.5,8,600058,0.002001709523617083,0.03009462496265769,2026-04-30 20:35:25
600,0.5,9,600059,0.008164134265857766,0.029107999987900257,2026-04-30 20:35:25
600,0.5,11,600061,0.002743171721434002,0.02932029077783227,2026-04-30 20:35:25
600,0.5,14,600064,0.0027924726565693135,0.02510766638442874,2026-04-30 20:35:25
600,0.5,10,600060,0.0023711469585825547,0.035524250008165836,2026-04-30 20:35:25
600,0.5,13,600063,0.009828039819965967,0.032758249901235104,2026-04-30 20:35:25
600,0.5,12,600062,0.004312765550038017,0.03397300001233816,2026-04-30 20:35:25
600,0.5,17,600067,0.0041180872023297375,0.02471966715529561,2026-04-30 20:35:25
600,0.5,16,600066,0.013270715084245033,0.029820041730999947,2026-04-30 20:35:25
600,0.5,19,600069,0.004551752802999461,0.02640574984252453,2026-04-30 20:35:25
600,0.5,15,600065,0.0027370378924222684,0.03581675002351403,2026-04-30 20:35:25
600,0.5,18,600068,0.0026670162824343115,0.03326420905068517,2026-04-30 20:35:25
600,1.0,0,600100,0.001181740271762828,0.039834334049373865,2026-04-30 20:35:28
600,1.0,1,600101,0.00104250529147807,0.04943874990567565,2026-04-30 20:35:28
600,1.0,4,600104,0.0011908947717578053,0.03295954130589962,2026-04-30 20:35:28
600,1.0,5,600105,0.0014105182202273627,0.026784207671880722,2026-04-30 20:35:28
600,1.0,3,600103,0.0011733801913044535,0.03714450029656291,2026-04-30 20:35:28
600,1.0,2,600102,0.0018748364551152772,0.053731709253042936,2026-04-30 20:35:28
600,1.0,7,600107,0.002016898019161901,0.033217333257198334,2026-04-30 20:35:28
600,1.0,9,600109,0.0011587420139436678,0.031419666949659586,2026-04-30 20:35:28
600,1.0,6,600106,0.0009729573435125496,0.04111275030300021,2026-04-30 20:35:28
600,1.0,8,600108,0.0017926304315636623,0.037675208412110806,2026-04-30 20:35:28
600,1.0,10,600110,0.000892789413469848,0.0433504581451416,2026-04-30 20:35:28
600,1.0,11,600111,0.001176945326668532,0.022731584031134844,2026-04-30 20:35:28
600,1.0,16,600116,0.0013424769681663967,0.0276096248999238,2026-04-30 20:35:28
600,1.0,13,600113,0.0013309425884657131,0.03358108410611749,2026-04-30 20:35:28
600,1.0,12,600112,0.0009008091450495091,0.03696045791730285,2026-04-30 20:35:28
600,1.0,17,600117,0.0008540905828515308,0.030290457885712385,2026-04-30 20:35:28
600,1.0,14,600114,0.0017370443145083626,0.03778704209253192,2026-04-30 20:35:28
600,1.0,15,600115,0.0014944010151905298,0.03825575020164251,2026-04-30 20:35:28
600,1.0,19,600119,0.0012073822174694167,0.027789374813437462,2026-04-30 20:35:28
600,1.0,18,600118,0.0007855379333105391,0.02979537518694997,2026-04-30 20:35:28
1200,0.1,0,1200010,0.05019604758678986,0.05180824967101216,2026-04-30 20:35:32
1200,0.1,1,1200011,0.014650656599861532,0.054605250246822834,2026-04-30 20:35:32
1200,0.1,3,1200013,0.052094775069852085,0.044791124761104584,2026-04-30 20:35:32
1200,0.1,2,1200012,0.030093020316173995,0.06189566710963845,2026-04-30 20:35:32
1200,0.1,4,1200014,0.030780414202244175,0.061124041210860014,2026-04-30 20:35:32
1200,0.1,5,1200015,0.1494980908618029,0.03872462501749396,2026-04-30 20:35:32
1200,0.1,7,1200017,0.024270413664742592,0.04336358420550823,2026-04-30 20:35:32
1200,0.1,6,1200016,0.06347956293489129,0.04771783389151096,2026-04-30 20:35:32
