n_samples,epsilon,run_idx,data_seed,dp_seed,pms_mse,pms_runtime_s,dp_mse,dp_runtime_s,timestamp
500,0.2,13,100002013,120002013,0.021112437895534714,0.04633545782417059,0.05465868537158338,0.030196665786206722,2026-04-30 20:33:33
500,0.2,15,100002015,120002015,0.02045222806805252,0.049792292062193155,0.0946446519350289,0.031342875212430954,2026-04-30 20:33:33
500,0.2,16,100002016,120002016,0.024268213364025015,0.03955066716298461,0.11186209806071759,0.03172237519174814,2026-04-30 20:33:33
500,0.2,17,100002017,120002017,0.02140611877177197,0.04574854113161564,0.04190009915461719,0.0278953337110579,2026-04-30 20:33:33
500,0.2,18,100002018,120002018,0.022688022977948266,0.04543150030076504,0.08654372575821218,0.026272624731063843,2026-04-30 20:33:33
500,0.2,19,100002019,120002019,0.02396148365128575,0.04900312516838312,0.06156914244967701,0.022564999759197235,2026-04-30 20:33:33
500,0.5,0,100005000,120005000,0.02258668375951342,0.04573120828717947,0.030105185859085414,0.03963937517255545,2026-04-30 20:33:36
500,0.5,1,100005001,120005001,0.016922772129581102,0.04871095763519406,0.038066700994076004,0.02858024975284934,2026-04-30 20:33:36
500,0.5,4,100005004,120005004,0.02087969840769878,0.0379167920909822,0.030093074701138485,0.03405295871198177,2026-04-30 20:33:36
500,0.5,2,100005002,120005002,0.019775831694013094,0.058807916939258575,0.032260040149214554,0.024232625029981136,2026-04-30 20:33:36
500,0.5,3,100005003,120005003,0.022298004007136874,0.048194083385169506,0.03957709848305352,0.036155625246465206,2026-04-30 20:33:36
500,0.5,5,100005005,120005005,0.020201415055414288,0.04506179178133607,0.03492183975622609,0.03431941708549857,2026-04-30 20:33:36
500,0.5,6,100005006,120005006,0.019092613946771357,0.049952457658946514,0.032564252602552135,0.0353585840202868,2026-04-30 20:33:36
500,0.5,7,100005007,120005007,0.02163813026249711,0.04774970794096589,0.03841148748123021,0.03814779222011566,2026-04-30 20:33:36
500,0.5,9,100005009,120005009,0.023429709078356453,0.05002966709434986,0.037480405570849175,0.021594292018562555,2026-04-30 20:33:36
500,0.5,8,100005008,120005008,0.020524247886131487,0.04726916691288352,0.04540636532286749,0.03741262527182698,2026-04-30 20:33:36
500,0.5,10,100005010,120005010,0.019638897349802342,0.041310958098620176,0.04587851946295976,0.03553904127329588,2026-04-30 20:33:36
500,0.5,11,100005011,120005011,0.020751207063594002,0.04435229208320379,0.03604608944254771,0.04831025004386902,2026-04-30 20:33:36
500,0.5,12,100005012,120005012,0.018637821990704698,0.053750916849821806,0.024705764245872237,0.04491608403623104,2026-04-30 20:33:36
500,0.5,14,100005014,120005014,0.019680291987504334,0.05174874980002642,0.02537232180629163,0.030951875261962414,2026-04-30 20:33:36
500,0.5,13,100005013,120005013,0.02245722431066693,0.04291833285242319,0.03776155557261763,0.05191204184666276,2026-04-30 20:33:36
500,0.5,15,100005015,120005015,0.024030609800290533,0.04376224987208843,0.02952419340740162,0.03886062512174249,2026-04-30 20:33:36
